Reference, Reference URL, Reference Perpendicular Baseline (meters),Secondary, Secondary URL, Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20190112T113013_20190112T113041_025444_02D1AB_5702,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190112T113013_20190112T113041_025444_02D1AB_5702.zip,-32,S1A_IW_SLC__1SDV_20190124T113012_20190124T113040_025619_02D80E_6DE4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190124T113012_20190124T113040_025619_02D80E_6DE4.zip,-53,12
S1A_IW_SLC__1SDV_20190112T113013_20190112T113041_025444_02D1AB_5702,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190112T113013_20190112T113041_025444_02D1AB_5702.zip,-32,S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91.zip,80,24
S1A_IW_SLC__1SDV_20190112T113013_20190112T113041_025444_02D1AB_5702,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190112T113013_20190112T113041_025444_02D1AB_5702.zip,-32,S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C.zip,2,36
S1A_IW_SLC__1SDV_20190112T113013_20190112T113041_025444_02D1AB_5702,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190112T113013_20190112T113041_025444_02D1AB_5702.zip,-32,S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737.zip,0,48
S1A_IW_SLC__1SDV_20190112T113013_20190112T113041_025444_02D1AB_5702,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190112T113013_20190112T113041_025444_02D1AB_5702.zip,-32,S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4.zip,-40,60
S1A_IW_SLC__1SDV_20190124T113012_20190124T113040_025619_02D80E_6DE4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190124T113012_20190124T113040_025619_02D80E_6DE4.zip,-53,S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91.zip,80,12
S1A_IW_SLC__1SDV_20190124T113012_20190124T113040_025619_02D80E_6DE4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190124T113012_20190124T113040_025619_02D80E_6DE4.zip,-53,S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C.zip,2,24
S1A_IW_SLC__1SDV_20190124T113012_20190124T113040_025619_02D80E_6DE4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190124T113012_20190124T113040_025619_02D80E_6DE4.zip,-53,S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737.zip,0,36
S1A_IW_SLC__1SDV_20190124T113012_20190124T113040_025619_02D80E_6DE4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190124T113012_20190124T113040_025619_02D80E_6DE4.zip,-53,S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4.zip,-40,48
S1A_IW_SLC__1SDV_20190124T113012_20190124T113040_025619_02D80E_6DE4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190124T113012_20190124T113040_025619_02D80E_6DE4.zip,-53,S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC.zip,-88,60
S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91.zip,80,S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C.zip,2,12
S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91.zip,80,S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737.zip,0,24
S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91.zip,80,S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4.zip,-40,36
S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91.zip,80,S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC.zip,-88,48
S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190205T113012_20190205T113040_025794_02DE64_FC91.zip,80,S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389.zip,-51,60
S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C.zip,2,S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737.zip,0,12
S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C.zip,2,S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4.zip,-40,24
S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C.zip,2,S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC.zip,-88,36
S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190217T113012_20190217T113040_025969_02E499_DE8C.zip,2,S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389.zip,-51,48
S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737.zip,0,S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4.zip,-40,12
S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737.zip,0,S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC.zip,-88,24
S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737.zip,0,S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389.zip,-51,36
S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190301T113012_20190301T113040_026144_02EADE_6737.zip,0,S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB.zip,-127,60
S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4.zip,-40,S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC.zip,-88,12
S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4.zip,-40,S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389.zip,-51,24
S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4.zip,-40,S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB.zip,-127,48
S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190313T113012_20190313T113040_026319_02F13C_50F4.zip,-40,S1A_IW_SLC__1SDV_20190512T113014_20190512T113042_027194_0310CD_76AE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190512T113014_20190512T113042_027194_0310CD_76AE.zip,-32,60
S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC.zip,-88,S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389.zip,-51,12
S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC.zip,-88,S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB.zip,-127,36
S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC.zip,-88,S1A_IW_SLC__1SDV_20190512T113014_20190512T113042_027194_0310CD_76AE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190512T113014_20190512T113042_027194_0310CD_76AE.zip,-32,48
S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190325T113012_20190325T113040_026494_02F7B1_74BC.zip,-88,S1A_IW_SLC__1SDV_20190524T113014_20190524T113042_027369_031646_A666,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190524T113014_20190524T113042_027369_031646_A666.zip,-35,60
S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389.zip,-51,S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB.zip,-127,24
S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389.zip,-51,S1A_IW_SLC__1SDV_20190512T113014_20190512T113042_027194_0310CD_76AE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190512T113014_20190512T113042_027194_0310CD_76AE.zip,-32,36
S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389.zip,-51,S1A_IW_SLC__1SDV_20190524T113014_20190524T113042_027369_031646_A666,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190524T113014_20190524T113042_027369_031646_A666.zip,-35,48
S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190406T113012_20190406T113040_026669_02FE28_D389.zip,-51,S1A_IW_SLC__1SDV_20190605T113015_20190605T113043_027544_031BB2_6B8E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190605T113015_20190605T113043_027544_031BB2_6B8E.zip,-12,60
S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB.zip,-127,S1A_IW_SLC__1SDV_20190512T113014_20190512T113042_027194_0310CD_76AE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190512T113014_20190512T113042_027194_0310CD_76AE.zip,-32,12
S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB.zip,-127,S1A_IW_SLC__1SDV_20190524T113014_20190524T113042_027369_031646_A666,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190524T113014_20190524T113042_027369_031646_A666.zip,-35,24
S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190430T113013_20190430T113041_027019_030ADC_3ABB.zip,-127,S1A_IW_SLC__1SDV_20190605T113015_20190605T113043_027544_031BB2_6B8E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190605T113015_20190605T113043_027544_031BB2_6B8E.zip,-12,36
