Reference,Reference URL,Reference Perpendicular Baseline (meters),Secondary,Secondary URL,Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20210101T113026_20210101T113054_035944_0435CA_7A39,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210101T113026_20210101T113054_035944_0435CA_7A39.zip,-28,S1A_IW_SLC__1SDV_20210113T113025_20210113T113053_036119_043BFB_07AB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210113T113025_20210113T113053_036119_043BFB_07AB.zip,14,12
S1A_IW_SLC__1SDV_20210101T113026_20210101T113054_035944_0435CA_7A39,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210101T113026_20210101T113054_035944_0435CA_7A39.zip,-28,S1A_IW_SLC__1SDV_20210125T113025_20210125T113053_036294_04420A_C847,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210125T113025_20210125T113053_036294_04420A_C847.zip,24,24
S1A_IW_SLC__1SDV_20210101T113026_20210101T113054_035944_0435CA_7A39,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210101T113026_20210101T113054_035944_0435CA_7A39.zip,-28,S1A_IW_SLC__1SDV_20210206T113024_20210206T113052_036469_044816_2FBD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210206T113024_20210206T113052_036469_044816_2FBD.zip,-10,36
S1A_IW_SLC__1SDV_20210101T113026_20210101T113054_035944_0435CA_7A39,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210101T113026_20210101T113054_035944_0435CA_7A39.zip,-28,S1A_IW_SLC__1SDV_20210218T113024_20210218T113052_036644_044E33_02A4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210218T113024_20210218T113052_036644_044E33_02A4.zip,8,48
S1A_IW_SLC__1SDV_20210113T113025_20210113T113053_036119_043BFB_07AB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210113T113025_20210113T113053_036119_043BFB_07AB.zip,14,S1A_IW_SLC__1SDV_20210125T113025_20210125T113053_036294_04420A_C847,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210125T113025_20210125T113053_036294_04420A_C847.zip,24,12
S1A_IW_SLC__1SDV_20210113T113025_20210113T113053_036119_043BFB_07AB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210113T113025_20210113T113053_036119_043BFB_07AB.zip,14,S1A_IW_SLC__1SDV_20210206T113024_20210206T113052_036469_044816_2FBD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210206T113024_20210206T113052_036469_044816_2FBD.zip,-10,24
S1A_IW_SLC__1SDV_20210113T113025_20210113T113053_036119_043BFB_07AB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210113T113025_20210113T113053_036119_043BFB_07AB.zip,14,S1A_IW_SLC__1SDV_20210218T113024_20210218T113052_036644_044E33_02A4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210218T113024_20210218T113052_036644_044E33_02A4.zip,8,36
S1A_IW_SLC__1SDV_20210113T113025_20210113T113053_036119_043BFB_07AB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210113T113025_20210113T113053_036119_043BFB_07AB.zip,14,S1A_IW_SLC__1SDV_20210314T113024_20210314T113052_036994_045A64_017D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210314T113024_20210314T113052_036994_045A64_017D.zip,0,60
S1A_IW_SLC__1SDV_20210125T113025_20210125T113053_036294_04420A_C847,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210125T113025_20210125T113053_036294_04420A_C847.zip,24,S1A_IW_SLC__1SDV_20210206T113024_20210206T113052_036469_044816_2FBD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210206T113024_20210206T113052_036469_044816_2FBD.zip,-10,12
S1A_IW_SLC__1SDV_20210125T113025_20210125T113053_036294_04420A_C847,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210125T113025_20210125T113053_036294_04420A_C847.zip,24,S1A_IW_SLC__1SDV_20210218T113024_20210218T113052_036644_044E33_02A4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210218T113024_20210218T113052_036644_044E33_02A4.zip,8,24
